n_dimensions,n_clusters,mean_ent,n_neighbors,run_id
250,39,0.6619784244759972,100,645
250,40,0.6622360896898078,100,646
250,41,0.65108749038665,100,647
250,42,0.6448313438717804,100,648
250,43,0.6375748982140904,100,649
250,44,0.6261132232369895,100,650
250,45,0.6232155350205622,100,651
250,46,0.6362303625801702,100,652
250,47,0.6369234388951963,100,653
250,48,0.6295321612279816,100,654
250,49,0.6264177102619983,100,655
250,50,0.6204977112785116,100,656
250,51,0.6169441295030991,100,657
250,52,0.6172074491161363,100,658
250,53,0.6191801033471471,100,659
250,54,0.6077138051370148,100,660
250,55,0.6270323415330384,100,661
250,56,0.6195545968242777,100,662
250,57,0.6135896521247676,100,663
250,58,0.6164241337823811,100,664
250,59,0.6206026589986199,100,665
250,60,0.6195068522198219,100,666
250,61,0.6118038073486262,100,667
250,62,0.6078906902513945,100,668
250,63,0.5953898462791528,100,669
250,64,0.5914601924809053,100,670
250,65,0.5937990493719388,100,671
250,66,0.5910081154161358,100,672
250,67,0.5914764400912379,100,673
250,68,0.5966882990192748,100,674
250,69,0.5979510928601937,100,675
250,70,0.5913271098049028,100,676
250,71,0.5863927904872771,100,677
250,72,0.5851268075888575,100,678
250,73,0.577423920464097,100,679
250,74,0.5782524867322396,100,680
250,75,0.5734261995317919,100,681
250,76,0.5773652786153214,100,682
250,77,0.5721853126744052,100,683
250,78,0.5668051487125706,100,684
250,79,0.5712534080781743,100,685
250,80,0.5751476162652527,100,686
250,81,0.5758925684203298,100,687
250,82,0.5711237067452691,100,688
250,83,0.5653106193172281,100,689
250,84,0.5622929352260728,100,690
250,85,0.5604196406118888,100,691
250,86,0.5418724423090415,100,692
250,87,0.5339182512562707,100,693
250,88,0.5280210293367167,100,694
250,89,0.527054737072676,100,695
200,3,0.8781575085113115,5,696
200,4,0.840819258367321,5,697
200,5,0.8057632563108204,5,698
200,6,0.8497986972414303,5,699
200,7,0.8315304849701498,5,700
200,8,0.8001030105320569,5,701
200,9,0.780449304144914,5,702
200,10,0.7636047910177839,5,703
200,11,0.7409465209607508,5,704
200,12,0.7197499229022192,5,705
200,13,0.7138495290804581,5,706
200,14,0.7237184331011636,5,707
200,15,0.7237968394640141,5,708
200,16,0.7180267104853058,5,709
200,17,0.7132413673230428,5,710
200,18,0.7157228012087435,5,711
200,19,0.7182704103592459,5,712
200,20,0.7177812285827259,5,713
200,21,0.7407563471280273,5,714
200,22,0.7334509700577151,5,715
200,23,0.7285695945482793,5,716
200,24,0.6994420036544214,5,717
200,25,0.6884522912541305,5,718
200,26,0.6744221116556086,5,719
200,27,0.6829733464796514,5,720
200,28,0.6765764079764667,5,721
200,29,0.6823477649467284,5,722
200,30,0.6891449914851308,5,723
200,31,0.6887909117084662,5,724
200,32,0.6884119162911071,5,725
200,33,0.6757070236861674,5,726
200,34,0.656636491252585,5,727
200,35,0.6621704088995942,5,728
200,36,0.6567625364431282,5,729
200,37,0.6474827574660761,5,730
200,38,0.6440084232015124,5,731
200,39,0.6388965345103705,5,732
200,40,0.6442070760433463,5,733
200,41,0.6469871793843528,5,734
200,42,0.6440140105644293,5,735
200,43,0.6421859891137636,5,736
200,44,0.6452345939737318,5,737
200,45,0.6415638051596955,5,738
200,46,0.6399406951972996,5,739
200,47,0.642924680320376,5,740
200,48,0.6409229628027201,5,741
200,49,0.6414688185723584,5,742
200,50,0.6319053476096039,5,743
200,51,0.6291447867985952,5,744
200,52,0.6291318251171358,5,745
200,53,0.6354137158187645,5,746
200,54,0.6377643546372518,5,747
200,55,0.6137952987717096,5,748
200,56,0.615209817024027,5,749
200,57,0.6129558623710857,5,750
